,period,respondent,respondent-name,fueltype,type-name,value,value-units
93,2023-01-04T21,CAL,California,SUN,Solar,4881,megawatthours
94,2023-01-04T22,CAL,California,SUN,Solar,5162,megawatthours
95,2023-01-04T23,CAL,California,SUN,Solar,4555,megawatthours
96,2023-01-05T00,CAL,California,SUN,Solar,3099,megawatthours
97,2023-01-05T01,CAL,California,SUN,Solar,449,megawatthours
98,2023-01-05T02,CAL,California,SUN,Solar,-25,megawatthours
99,2023-01-05T03,CAL,California,SUN,Solar,-26,megawatthours
100,2023-01-05T04,CAL,California,SUN,Solar,-29,megawatthours
101,2023-01-05T05,CAL,California,SUN,Solar,-30,megawatthours
102,2023-01-05T06,CAL,California,SUN,Solar,-30,megawatthours
103,2023-01-05T07,CAL,California,SUN,Solar,-31,megawatthours
104,2023-01-05T08,CAL,California,SUN,Solar,-30,megawatthours
105,2023-01-05T09,CAL,California,SUN,Solar,-31,megawatthours
106,2023-01-05T10,CAL,California,SUN,Solar,-30,megawatthours
107,2023-01-05T11,CAL,California,SUN,Solar,-31,megawatthours
108,2023-01-05T12,CAL,California,SUN,Solar,-31,megawatthours
109,2023-01-05T13,CAL,California,SUN,Solar,-32,megawatthours
110,2023-01-05T14,CAL,California,SUN,Solar,-33,megawatthours
111,2023-01-05T15,CAL,California,SUN,Solar,-30,megawatthours
112,2023-01-05T16,CAL,California,SUN,Solar,642,megawatthours
113,2023-01-05T17,CAL,California,SUN,Solar,2221,megawatthours
114,2023-01-05T18,CAL,California,SUN,Solar,3512,megawatthours
115,2023-01-05T19,CAL,California,SUN,Solar,5454,megawatthours
116,2023-01-05T20,CAL,California,SUN,Solar,6432,megawatthours
117,2023-01-05T21,CAL,California,SUN,Solar,5415,megawatthours
118,2023-01-05T22,CAL,California,SUN,Solar,5851,megawatthours
119,2023-01-05T23,CAL,California,SUN,Solar,5372,megawatthours
120,2023-01-06T00,CAL,California,SUN,Solar,3650,megawatthours
121,2023-01-06T01,CAL,California,SUN,Solar,743,megawatthours
122,2023-01-06T02,CAL,California,SUN,Solar,-28,megawatthours
123,2023-01-06T03,CAL,California,SUN,Solar,-35,megawatthours
124,2023-01-06T04,CAL,California,SUN,Solar,-36,megawatthours
125,2023-01-06T05,CAL,California,SUN,Solar,-36,megawatthours
126,2023-01-06T06,CAL,California,SUN,Solar,-35,megawatthours
127,2023-01-06T07,CAL,California,SUN,Solar,-35,megawatthours
128,2023-01-06T08,CAL,California,SUN,Solar,-36,megawatthours
129,2023-01-06T09,CAL,California,SUN,Solar,-36,megawatthours
130,2023-01-06T10,CAL,California,SUN,Solar,-36,megawatthours
131,2023-01-06T11,CAL,California,SUN,Solar,-36,megawatthours
132,2023-01-06T12,CAL,California,SUN,Solar,-36,megawatthours
133,2023-01-06T13,CAL,California,SUN,Solar,-36,megawatthours
134,2023-01-06T14,CAL,California,SUN,Solar,-37,megawatthours
135,2023-01-06T15,CAL,California,SUN,Solar,-28,megawatthours
136,2023-01-06T16,CAL,California,SUN,Solar,1215,megawatthours
137,2023-01-06T17,CAL,California,SUN,Solar,6428,megawatthours
138,2023-01-06T18,CAL,California,SUN,Solar,9596,megawatthours
139,2023-01-06T19,CAL,California,SUN,Solar,10083,megawatthours
140,2023-01-06T20,CAL,California,SUN,Solar,9966,megawatthours
141,2023-01-06T21,CAL,California,SUN,Solar,10366,megawatthours
142,2023-01-06T22,CAL,California,SUN,Solar,10575,megawatthours
143,2023-01-06T23,CAL,California,SUN,Solar,10259,megawatthours
144,2023-01-07T00,CAL,California,SUN,Solar,6358,megawatthours
145,2023-01-07T01,CAL,California,SUN,Solar,945,megawatthours
146,2023-01-07T02,CAL,California,SUN,Solar,-36,megawatthours
147,2023-01-07T03,CAL,California,SUN,Solar,-48,megawatthours
148,2023-01-07T04,CAL,California,SUN,Solar,-48,megawatthours
149,2023-01-07T05,CAL,California,SUN,Solar,-51,megawatthours
150,2023-01-07T06,CAL,California,SUN,Solar,-51,megawatthours
151,2023-01-07T07,CAL,California,SUN,Solar,-52,megawatthours
152,2023-01-07T08,CAL,California,SUN,Solar,-51,megawatthours
153,2023-01-07T09,CAL,California,SUN,Solar,-51,megawatthours
154,2023-01-07T10,CAL,California,SUN,Solar,-51,megawatthours
155,2023-01-07T11,CAL,California,SUN,Solar,-51,megawatthours
156,2023-01-07T12,CAL,California,SUN,Solar,-51,megawatthours
157,2023-01-07T13,CAL,California,SUN,Solar,-51,megawatthours
158,2023-01-07T14,CAL,California,SUN,Solar,-51,megawatthours
159,2023-01-07T15,CAL,California,SUN,Solar,-34,megawatthours
160,2023-01-07T16,CAL,California,SUN,Solar,1656,megawatthours
161,2023-01-07T17,CAL,California,SUN,Solar,5156,megawatthours
162,2023-01-07T18,CAL,California,SUN,Solar,6460,megawatthours
163,2023-01-07T19,CAL,California,SUN,Solar,7100,megawatthours
164,2023-01-07T20,CAL,California,SUN,Solar,7363,megawatthours
165,2023-01-07T21,CAL,California,SUN,Solar,7250,megawatthours
166,2023-01-07T22,CAL,California,SUN,Solar,6920,megawatthours
167,2023-01-07T23,CAL,California,SUN,Solar,5290,megawatthours
168,2023-01-08T00,CAL,California,SUN,Solar,3494,megawatthours
169,2023-01-08T01,CAL,California,SUN,Solar,418,megawatthours
170,2023-01-08T02,CAL,California,SUN,Solar,-54,megawatthours
171,2023-01-08T03,CAL,California,SUN,Solar,-49,megawatthours
172,2023-01-08T04,CAL,California,SUN,Solar,-49,megawatthours
173,2023-01-08T05,CAL,California,SUN,Solar,-49,megawatthours
174,2023-01-08T06,CAL,California,SUN,Solar,-49,megawatthours
175,2023-01-08T07,CAL,California,SUN,Solar,-49,megawatthours
176,2023-01-08T08,CAL,California,SUN,Solar,-49,megawatthours
177,2023-01-08T09,CAL,California,SUN,Solar,-49,megawatthours
178,2023-01-08T10,CAL,California,SUN,Solar,-49,megawatthours
