,period,respondent,respondent-name,fueltype,type-name,value,value-units
96,2023-01-05T00,CAL,California,WND,Wind,1872,megawatthours
97,2023-01-05T01,CAL,California,WND,Wind,1946,megawatthours
98,2023-01-05T02,CAL,California,WND,Wind,1738,megawatthours
99,2023-01-05T03,CAL,California,WND,Wind,1171,megawatthours
100,2023-01-05T04,CAL,California,WND,Wind,1636,megawatthours
101,2023-01-05T05,CAL,California,WND,Wind,1792,megawatthours
102,2023-01-05T06,CAL,California,WND,Wind,1742,megawatthours
103,2023-01-05T07,CAL,California,WND,Wind,2191,megawatthours
104,2023-01-05T08,CAL,California,WND,Wind,2119,megawatthours
105,2023-01-05T09,CAL,California,WND,Wind,2252,megawatthours
106,2023-01-05T10,CAL,California,WND,Wind,2140,megawatthours
107,2023-01-05T11,CAL,California,WND,Wind,1569,megawatthours
108,2023-01-05T12,CAL,California,WND,Wind,1657,megawatthours
109,2023-01-05T13,CAL,California,WND,Wind,1792,megawatthours
110,2023-01-05T14,CAL,California,WND,Wind,1444,megawatthours
111,2023-01-05T15,CAL,California,WND,Wind,1584,megawatthours
112,2023-01-05T16,CAL,California,WND,Wind,1640,megawatthours
113,2023-01-05T17,CAL,California,WND,Wind,1237,megawatthours
114,2023-01-05T18,CAL,California,WND,Wind,1263,megawatthours
115,2023-01-05T19,CAL,California,WND,Wind,1257,megawatthours
116,2023-01-05T20,CAL,California,WND,Wind,1414,megawatthours
117,2023-01-05T21,CAL,California,WND,Wind,2245,megawatthours
118,2023-01-05T22,CAL,California,WND,Wind,2405,megawatthours
119,2023-01-05T23,CAL,California,WND,Wind,2458,megawatthours
120,2023-01-06T00,CAL,California,WND,Wind,2581,megawatthours
121,2023-01-06T01,CAL,California,WND,Wind,2681,megawatthours
122,2023-01-06T02,CAL,California,WND,Wind,3522,megawatthours
123,2023-01-06T03,CAL,California,WND,Wind,3704,megawatthours
124,2023-01-06T04,CAL,California,WND,Wind,3605,megawatthours
125,2023-01-06T05,CAL,California,WND,Wind,3444,megawatthours
126,2023-01-06T06,CAL,California,WND,Wind,3619,megawatthours
127,2023-01-06T07,CAL,California,WND,Wind,3577,megawatthours
128,2023-01-06T08,CAL,California,WND,Wind,3376,megawatthours
129,2023-01-06T09,CAL,California,WND,Wind,2984,megawatthours
130,2023-01-06T10,CAL,California,WND,Wind,2638,megawatthours
131,2023-01-06T11,CAL,California,WND,Wind,2382,megawatthours
132,2023-01-06T12,CAL,California,WND,Wind,1981,megawatthours
133,2023-01-06T13,CAL,California,WND,Wind,1652,megawatthours
134,2023-01-06T14,CAL,California,WND,Wind,1474,megawatthours
135,2023-01-06T15,CAL,California,WND,Wind,1661,megawatthours
136,2023-01-06T16,CAL,California,WND,Wind,1597,megawatthours
137,2023-01-06T17,CAL,California,WND,Wind,961,megawatthours
138,2023-01-06T18,CAL,California,WND,Wind,734,megawatthours
139,2023-01-06T19,CAL,California,WND,Wind,776,megawatthours
140,2023-01-06T20,CAL,California,WND,Wind,765,megawatthours
141,2023-01-06T21,CAL,California,WND,Wind,609,megawatthours
142,2023-01-06T22,CAL,California,WND,Wind,652,megawatthours
143,2023-01-06T23,CAL,California,WND,Wind,529,megawatthours
144,2023-01-07T00,CAL,California,WND,Wind,674,megawatthours
145,2023-01-07T01,CAL,California,WND,Wind,683,megawatthours
146,2023-01-07T02,CAL,California,WND,Wind,713,megawatthours
147,2023-01-07T03,CAL,California,WND,Wind,811,megawatthours
148,2023-01-07T04,CAL,California,WND,Wind,841,megawatthours
149,2023-01-07T05,CAL,California,WND,Wind,837,megawatthours
150,2023-01-07T06,CAL,California,WND,Wind,787,megawatthours
151,2023-01-07T07,CAL,California,WND,Wind,884,megawatthours
152,2023-01-07T08,CAL,California,WND,Wind,880,megawatthours
153,2023-01-07T09,CAL,California,WND,Wind,850,megawatthours
154,2023-01-07T10,CAL,California,WND,Wind,811,megawatthours
155,2023-01-07T11,CAL,California,WND,Wind,807,megawatthours
156,2023-01-07T12,CAL,California,WND,Wind,681,megawatthours
