,period,value
228,2023-12-21T12,25898
229,2023-12-21T11,26556
230,2023-12-21T10,27371
231,2023-12-21T09,28358
232,2023-12-21T08,29749
233,2023-12-21T07,31530
234,2023-12-21T06,32804
235,2023-12-21T05,33507
236,2023-12-21T04,34141
237,2023-12-21T03,34603
238,2023-12-21T02,33533
239,2023-12-21T01,32615
240,2023-12-21T00,32954
241,2023-12-20T23,32421
242,2023-12-20T22,32257
243,2023-12-20T21,32456
244,2023-12-20T20,32706
245,2023-12-20T19,32650
246,2023-12-20T18,31866
247,2023-12-20T17,30743
248,2023-12-20T16,29198
249,2023-12-20T15,26957
250,2023-12-20T14,25527
251,2023-12-20T13,25402
252,2023-12-20T12,25334
253,2023-12-20T11,25954
254,2023-12-20T10,26410
255,2023-12-20T09,27508
256,2023-12-20T08,29185
257,2023-12-20T07,30937
258,2023-12-20T06,32033
259,2023-12-20T05,32957
260,2023-12-20T04,33627
261,2023-12-20T03,34088
262,2023-12-20T02,32696
263,2023-12-20T01,31688
264,2023-12-20T00,31754
265,2023-12-19T23,31550
266,2023-12-19T22,31033
267,2023-12-19T21,31721
268,2023-12-19T20,32280
269,2023-12-19T19,31982
270,2023-12-19T18,31423
271,2023-12-19T17,30584
272,2023-12-19T16,29272
273,2023-12-19T15,27655
274,2023-12-19T14,26020
275,2023-12-19T13,25971
276,2023-12-19T12,26113
277,2023-12-19T11,26660
278,2023-12-19T10,27180
279,2023-12-19T09,27924
280,2023-12-19T08,29497
281,2023-12-19T07,31303
282,2023-12-19T06,32483
283,2023-12-19T05,33249
284,2023-12-19T04,34137
285,2023-12-19T03,34310
286,2023-12-19T02,33377
287,2023-12-19T01,32271
288,2023-12-19T00,31776
289,2023-12-18T23,31974
290,2023-12-18T22,32654
291,2023-12-18T21,32976
292,2023-12-18T20,32908
293,2023-12-18T19,32573
294,2023-12-18T18,33284
295,2023-12-18T17,31567
296,2023-12-18T16,29731
297,2023-12-18T15,27519
298,2023-12-18T14,26061
299,2023-12-18T13,25713
300,2023-12-18T12,25547
301,2023-12-18T11,25849
302,2023-12-18T10,26471
303,2023-12-18T09,26768
304,2023-12-18T08,29053
305,2023-12-18T07,30051
306,2023-12-18T06,31028
307,2023-12-18T05,31731
308,2023-12-18T04,32045
309,2023-12-18T03,32212
310,2023-12-18T02,30701
311,2023-12-18T01,29756
312,2023-12-18T00,29070
313,2023-12-17T23,28949
314,2023-12-17T22,28993
315,2023-12-17T21,28919
316,2023-12-17T20,28760
317,2023-12-17T19,28205
318,2023-12-17T18,28058
319,2023-12-17T17,26686
320,2023-12-17T16,26139
321,2023-12-17T15,25461
322,2023-12-17T14,25137
323,2023-12-17T13,25061
324,2023-12-17T12,25344
325,2023-12-17T11,26172
326,2023-12-17T10,26774
327,2023-12-17T09,27612
328,2023-12-17T08,28990
329,2023-12-17T07,30183
330,2023-12-17T06,30816
331,2023-12-17T05,31292
332,2023-12-17T04,31589
333,2023-12-17T03,31465
334,2023-12-17T02,30351
335,2023-12-17T01,28334
336,2023-12-17T00,27395
337,2023-12-16T23,26757
338,2023-12-16T22,26628
339,2023-12-16T21,27043
340,2023-12-16T20,27733
341,2023-12-16T19,27579
342,2023-12-16T18,28534
343,2023-12-16T17,28933
344,2023-12-16T16,27992
345,2023-12-16T15,26773
346,2023-12-16T14,25976
347,2023-12-16T13,25880
348,2023-12-16T12,25964
349,2023-12-16T11,26493
350,2023-12-16T10,27368
351,2023-12-16T09,28463
352,2023-12-16T08,30017
353,2023-12-16T07,31342
354,2023-12-16T06,32176
355,2023-12-16T05,32741
356,2023-12-16T04,33367
357,2023-12-16T03,33753
358,2023-12-16T02,32218
359,2023-12-16T01,30216
360,2023-12-16T00,29161
361,2023-12-15T23,29380
362,2023-12-15T22,29838
363,2023-12-15T21,30209
364,2023-12-15T20,31616
365,2023-12-15T19,32277
366,2023-12-15T18,32430
367,2023-12-15T17,32478
368,2023-12-15T16,31125
369,2023-12-15T15,28673
370,2023-12-15T14,27075
371,2023-12-15T13,26768
372,2023-12-15T12,26872
373,2023-12-15T11,27116
374,2023-12-15T10,27949
375,2023-12-15T09,28807
376,2023-12-15T08,30516
377,2023-12-15T07,32192
378,2023-12-15T06,33241
379,2023-12-15T05,33859
380,2023-12-15T04,34279
381,2023-12-15T03,34503
382,2023-12-15T02,32576
383,2023-12-15T01,30488
384,2023-12-15T00,29914
385,2023-12-14T23,30569
386,2023-12-14T22,30654
387,2023-12-14T21,30852
388,2023-12-14T20,31431
389,2023-12-14T19,31785
390,2023-12-14T18,32580
391,2023-12-14T17,32873
392,2023-12-14T16,31596
393,2023-12-14T15,28932
394,2023-12-14T14,26870
395,2023-12-14T13,26448
396,2023-12-14T12,26557
397,2023-12-14T11,27139
398,2023-12-14T10,27799
399,2023-12-14T09,28637
400,2023-12-14T08,31148
401,2023-12-14T07,32313
402,2023-12-14T06,33401
403,2023-12-14T05,34161
404,2023-12-14T04,34452
405,2023-12-14T03,34631
406,2023-12-14T02,32694
407,2023-12-14T01,30991
408,2023-12-14T00,30284
409,2023-12-13T23,30056
410,2023-12-13T22,29823
411,2023-12-13T21,29636
412,2023-12-13T20,30486
413,2023-12-13T19,30846
414,2023-12-13T18,32325
415,2023-12-13T17,32570
416,2023-12-13T16,30203
417,2023-12-13T15,28814
418,2023-12-13T14,27143
419,2023-12-13T13,26665
420,2023-12-13T12,26859
421,2023-12-13T11,27014
422,2023-12-13T10,27699
423,2023-12-13T09,29171
424,2023-12-13T08,31035
425,2023-12-13T07,32190
426,2023-12-13T06,33575
427,2023-12-13T05,33987
428,2023-12-13T04,34318
429,2023-12-13T03,34422
430,2023-12-13T02,32512
431,2023-12-13T01,30491
432,2023-12-13T00,30160
433,2023-12-12T23,29944
434,2023-12-12T22,29782
435,2023-12-12T21,29859
436,2023-12-12T20,30522
437,2023-12-12T19,31580
438,2023-12-12T18,32557
439,2023-12-12T17,32872
440,2023-12-12T16,30145
441,2023-12-12T15,28748
442,2023-12-12T14,26986
443,2023-12-12T13,26223
444,2023-12-12T12,26725
445,2023-12-12T11,27031
446,2023-12-12T10,27463
447,2023-12-12T09,28267
