,period,value
2337,2023-09-24T15,25703
2338,2023-09-24T14,25224
2339,2023-09-24T13,25128
2340,2023-09-24T12,25362
2341,2023-09-24T11,25839
2342,2023-09-24T10,26430
2343,2023-09-24T09,27411
2344,2023-09-24T08,28470
2345,2023-09-24T07,27616
2346,2023-09-24T06,28962
2347,2023-09-24T05,30016
2348,2023-09-24T04,30873
2349,2023-09-24T03,33114
2350,2023-09-24T02,32178
2351,2023-09-24T01,30880
2352,2023-09-24T00,28933
2353,2023-09-23T23,28323
2354,2023-09-23T22,27561
2355,2023-09-23T21,27151
2356,2023-09-23T20,26970
2357,2023-09-23T19,26774
2358,2023-09-23T18,27313
2359,2023-09-23T17,27045
2360,2023-09-23T16,26644
2361,2023-09-23T15,26333
2362,2023-09-23T14,25623
2363,2023-09-23T13,25201
2364,2023-09-23T12,25263
2365,2023-09-23T11,25668
2366,2023-09-23T10,26544
2367,2023-09-23T09,27655
2368,2023-09-23T08,28963
2369,2023-09-23T07,30427
2370,2023-09-23T06,32059
2371,2023-09-23T05,33008
2372,2023-09-23T04,33740
2373,2023-09-23T03,33545
2374,2023-09-23T02,32750
2375,2023-09-23T01,31673
2376,2023-09-23T00,31178
2377,2023-09-22T23,31069
2378,2023-09-22T22,30529
2379,2023-09-22T21,29614
2380,2023-09-22T20,30110
2381,2023-09-22T19,30360
2382,2023-09-22T18,30581
2383,2023-09-22T17,31167
2384,2023-09-22T16,30195
2385,2023-09-22T15,28875
2386,2023-09-22T14,27629
2387,2023-09-22T13,26403
2388,2023-09-22T12,26622
2389,2023-09-22T11,26710
2390,2023-09-22T10,27251
2391,2023-09-22T09,28307
2392,2023-09-22T08,29385
2393,2023-09-22T07,30905
2394,2023-09-22T06,32824
2395,2023-09-22T05,34075
2396,2023-09-22T04,34711
2397,2023-09-22T03,34810
2398,2023-09-22T02,33586
2399,2023-09-22T01,32247
2400,2023-09-22T00,30948
2401,2023-09-21T23,30592
2402,2023-09-21T22,30406
2403,2023-09-21T21,30983
2404,2023-09-21T20,31707
2405,2023-09-21T19,31860
2406,2023-09-21T18,31929
2407,2023-09-21T17,32276
2408,2023-09-21T16,31220
2409,2023-09-21T15,29881
2410,2023-09-21T14,27934
2411,2023-09-21T13,26772
2412,2023-09-21T12,26460
2413,2023-09-21T11,26546
2414,2023-09-21T10,27262
2415,2023-09-21T09,28498
2416,2023-09-21T08,29866
2417,2023-09-21T07,31688
2418,2023-09-21T06,33810
2419,2023-09-21T05,35422
2420,2023-09-21T04,36367
2421,2023-09-21T03,36399
2422,2023-09-21T02,35542
2423,2023-09-21T01,34416
2424,2023-09-21T00,32931
2425,2023-09-20T23,31693
2426,2023-09-20T22,30989
2427,2023-09-20T21,31068
2428,2023-09-20T20,31203
2429,2023-09-20T19,31776
2430,2023-09-20T18,32222
2431,2023-09-20T17,32364
2432,2023-09-20T16,31208
2433,2023-09-20T15,30066
2434,2023-09-20T14,28133
2435,2023-09-20T13,26961
2436,2023-09-20T12,26718
2437,2023-09-20T11,26926
2438,2023-09-20T10,27570
2439,2023-09-20T09,28833
2440,2023-09-20T08,30114
2441,2023-09-20T07,32312
2442,2023-09-20T06,34618
2443,2023-09-20T05,36269
2444,2023-09-20T04,37417
2445,2023-09-20T03,37481
2446,2023-09-20T02,36859
2447,2023-09-20T01,35464
2448,2023-09-20T00,33660
2449,2023-09-19T23,32042
2450,2023-09-19T22,30963
2451,2023-09-19T21,30797
2452,2023-09-19T20,31257
2453,2023-09-19T19,31874
2454,2023-09-19T18,32011
2455,2023-09-19T17,31830
2456,2023-09-19T16,30940
2457,2023-09-19T15,29664
2458,2023-09-19T14,27750
2459,2023-09-19T13,26439
2460,2023-09-19T12,26244
2461,2023-09-19T11,26550
2462,2023-09-19T10,27158
2463,2023-09-19T09,28616
2464,2023-09-19T08,29947
2465,2023-09-19T07,32137
2466,2023-09-19T06,34525
2467,2023-09-19T05,36185
2468,2023-09-19T04,37195
2469,2023-09-19T03,37397
2470,2023-09-19T02,36975
2471,2023-09-19T01,35827
2472,2023-09-19T00,34445
2473,2023-09-18T23,33015
2474,2023-09-18T22,31613
2475,2023-09-18T21,31718
2476,2023-09-18T20,32141
2477,2023-09-18T19,32459
2478,2023-09-18T18,33101
2479,2023-09-18T17,32554
2480,2023-09-18T16,31372
2481,2023-09-18T15,29892
2482,2023-09-18T14,28227
2483,2023-09-18T13,26654
2484,2023-09-18T12,26389
2485,2023-09-18T11,26385
2486,2023-09-18T10,26906
2487,2023-09-18T09,27651
2488,2023-09-18T08,28689
2489,2023-09-18T07,30610
2490,2023-09-18T06,32550
2491,2023-09-18T05,33778
2492,2023-09-18T04,34454
2493,2023-09-18T03,33976
2494,2023-09-18T02,32921
2495,2023-09-18T01,32007
2496,2023-09-18T00,29827
2497,2023-09-17T23,28578
2498,2023-09-17T22,28199
2499,2023-09-17T21,28266
2500,2023-09-17T20,28150
2501,2023-09-17T19,28620
2502,2023-09-17T18,28810
2503,2023-09-17T17,28263
2504,2023-09-17T16,26986
2505,2023-09-17T15,26163
2506,2023-09-17T14,25631
2507,2023-09-17T13,25527
2508,2023-09-17T12,25695
2509,2023-09-17T11,26467
2510,2023-09-17T10,27462
2511,2023-09-17T09,28414
2512,2023-09-17T08,29726
2513,2023-09-17T07,31402
2514,2023-09-17T06,33074
2515,2023-09-17T05,34304
2516,2023-09-17T04,35001
2517,2023-09-17T03,35171
2518,2023-09-17T02,34118
2519,2023-09-17T01,33012
2520,2023-09-17T00,31693
2521,2023-09-16T23,30679
2522,2023-09-16T22,30610
2523,2023-09-16T21,31246
2524,2023-09-16T20,31665
2525,2023-09-16T19,31975
2526,2023-09-16T18,31679
2527,2023-09-16T17,31181
2528,2023-09-16T16,28933
2529,2023-09-16T15,27719
2530,2023-09-16T14,27375
2531,2023-09-16T13,27122
2532,2023-09-16T12,27200
2533,2023-09-16T11,28088
2534,2023-09-16T10,29178
2535,2023-09-16T09,30632
2536,2023-09-16T08,32055
2537,2023-09-16T07,33871
2538,2023-09-16T06,35958
2539,2023-09-16T05,37520
2540,2023-09-16T04,39004
2541,2023-09-16T03,39618
2542,2023-09-16T02,39723
2543,2023-09-16T01,38506
2544,2023-09-16T00,36759
2545,2023-09-15T23,34579
2546,2023-09-15T22,33173
2547,2023-09-15T21,33324
2548,2023-09-15T20,33428
2549,2023-09-15T19,34027
2550,2023-09-15T18,34157
2551,2023-09-15T17,33704
2552,2023-09-15T16,32554
2553,2023-09-15T15,30906
2554,2023-09-15T14,29200
2555,2023-09-15T13,28521
2556,2023-09-15T12,28569
2557,2023-09-15T11,28921
2558,2023-09-15T10,29474
2559,2023-09-15T09,30385
2560,2023-09-15T08,32215
2561,2023-09-15T07,34449
2562,2023-09-15T06,37224
2563,2023-09-15T05,39320
2564,2023-09-15T04,40823
2565,2023-09-15T03,41134
2566,2023-09-15T02,41294
2567,2023-09-15T01,40333
2568,2023-09-15T00,38520
2569,2023-09-14T23,35859
2570,2023-09-14T22,33903
2571,2023-09-14T21,33055
2572,2023-09-14T20,32856
2573,2023-09-14T19,33568
2574,2023-09-14T18,33358
2575,2023-09-14T17,33105
2576,2023-09-14T16,32189
2577,2023-09-14T15,30910
2578,2023-09-14T14,29021
2579,2023-09-14T13,27798
2580,2023-09-14T12,27978
2581,2023-09-14T11,28628
2582,2023-09-14T10,28906
2583,2023-09-14T09,30182
2584,2023-09-14T08,32115
2585,2023-09-14T07,34554
2586,2023-09-14T06,37319
2587,2023-09-14T05,39475
2588,2023-09-14T04,41131
2589,2023-09-14T03,41789
2590,2023-09-14T02,41422
2591,2023-09-14T01,40216
2592,2023-09-14T00,38207
2593,2023-09-13T23,36600
2594,2023-09-13T22,34826
2595,2023-09-13T21,34100
2596,2023-09-13T20,33185
2597,2023-09-13T19,33289
2598,2023-09-13T18,33505
2599,2023-09-13T17,33956
2600,2023-09-13T16,32971
2601,2023-09-13T15,31783
2602,2023-09-13T14,29865
2603,2023-09-13T13,28846
2604,2023-09-13T12,28440
2605,2023-09-13T11,28892
2606,2023-09-13T10,29724
2607,2023-09-13T09,30934
2608,2023-09-13T08,32792
2609,2023-09-13T07,35233
2610,2023-09-13T06,38012
2611,2023-09-13T05,40365
2612,2023-09-13T04,42145
2613,2023-09-13T03,43156
2614,2023-09-13T02,43440
2615,2023-09-13T01,42874
2616,2023-09-13T00,41322
2617,2023-09-12T23,39371
2618,2023-09-12T22,37607
2619,2023-09-12T21,36392
2620,2023-09-12T20,35682
2621,2023-09-12T19,35331
2622,2023-09-12T18,36817
2623,2023-09-12T17,35366
2624,2023-09-12T16,33649
2625,2023-09-12T15,32007
2626,2023-09-12T14,30212
2627,2023-09-12T13,29246
2628,2023-09-12T12,29587
2629,2023-09-12T11,29736
2630,2023-09-12T10,30950
2631,2023-09-12T09,32144
2632,2023-09-12T08,34041
2633,2023-09-12T07,36678
2634,2023-09-12T06,39668
2635,2023-09-12T05,41908
2636,2023-09-12T04,43422
2637,2023-09-12T03,44098
2638,2023-09-12T02,44717
2639,2023-09-12T01,44237
2640,2023-09-12T00,43361
2641,2023-09-11T23,41846
2642,2023-09-11T22,40403
2643,2023-09-11T21,39556
2644,2023-09-11T20,38938
2645,2023-09-11T19,37895
2646,2023-09-11T18,37530
2647,2023-09-11T17,36572
2648,2023-09-11T16,34016
2649,2023-09-11T15,32287
2650,2023-09-11T14,30187
2651,2023-09-11T13,29745
2652,2023-09-11T12,29967
2653,2023-09-11T11,30284
2654,2023-09-11T10,30471
2655,2023-09-11T09,32150
2656,2023-09-11T08,34021
2657,2023-09-11T07,36542
2658,2023-09-11T06,39333
2659,2023-09-11T05,41807
2660,2023-09-11T04,43405
2661,2023-09-11T03,44080
2662,2023-09-11T02,43539
2663,2023-09-11T01,41864
2664,2023-09-11T00,39588
2665,2023-09-10T23,37112
2666,2023-09-10T22,34807
2667,2023-09-10T21,32993
2668,2023-09-10T20,32257
2669,2023-09-10T19,31982
2670,2023-09-10T18,31482
2671,2023-09-10T17,30634
2672,2023-09-10T16,29104
2673,2023-09-10T15,28729
2674,2023-09-10T14,28421
2675,2023-09-10T13,28525
2676,2023-09-10T12,28890
2677,2023-09-10T11,29776
2678,2023-09-10T10,31154
2679,2023-09-10T09,32760
2680,2023-09-10T08,34746
2681,2023-09-10T07,37012
2682,2023-09-10T06,39429
2683,2023-09-10T05,41332
2684,2023-09-10T04,42927
2685,2023-09-10T03,44039
2686,2023-09-10T02,44243
2687,2023-09-10T01,43618
2688,2023-09-10T00,42160
2689,2023-09-09T23,39900
2690,2023-09-09T22,37474
2691,2023-09-09T21,35910
2692,2023-09-09T20,34648
2693,2023-09-09T19,33617
2694,2023-09-09T18,33618
2695,2023-09-09T17,32500
2696,2023-09-09T16,30051
2697,2023-09-09T15,29058
2698,2023-09-09T14,28552
2699,2023-09-09T13,28524
2700,2023-09-09T12,28861
2701,2023-09-09T11,29692
2702,2023-09-09T10,31019
2703,2023-09-09T09,33012
2704,2023-09-09T08,35230
2705,2023-09-09T07,37983
2706,2023-09-09T06,40649
2707,2023-09-09T05,42627
2708,2023-09-09T04,44544
2709,2023-09-09T03,46437
2710,2023-09-09T02,46913
2711,2023-09-09T01,45920
2712,2023-09-09T00,44073
2713,2023-09-08T23,41314
2714,2023-09-08T22,38681
2715,2023-09-08T21,36678
2716,2023-09-08T20,35551
2717,2023-09-08T19,34731
2718,2023-09-08T18,34058
2719,2023-09-08T17,33375
2720,2023-09-08T16,31863
2721,2023-09-08T15,30822
2722,2023-09-08T14,28899
2723,2023-09-08T13,28314
2724,2023-09-08T12,28470
2725,2023-09-08T11,28850
2726,2023-09-08T10,29574
2727,2023-09-08T09,31008
2728,2023-09-08T08,32923
2729,2023-09-08T07,35697
2730,2023-09-08T06,38609
2731,2023-09-08T05,40694
2732,2023-09-08T04,42498
2733,2023-09-08T03,43458
2734,2023-09-08T02,42972
2735,2023-09-08T01,41274
2736,2023-09-08T00,39188
2737,2023-09-07T23,36471
2738,2023-09-07T22,33921
2739,2023-09-07T21,33385
2740,2023-09-07T20,33195
2741,2023-09-07T19,32962
2742,2023-09-07T18,33595
2743,2023-09-07T17,33420
2744,2023-09-07T16,31940
2745,2023-09-07T15,30660
2746,2023-09-07T14,28787
2747,2023-09-07T13,28167
2748,2023-09-07T12,28285
2749,2023-09-07T11,28411
2750,2023-09-07T10,29300
2751,2023-09-07T09,30488
2752,2023-09-07T08,32298
2753,2023-09-07T07,34511
2754,2023-09-07T06,37310
2755,2023-09-07T05,39358
2756,2023-09-07T04,40769
2757,2023-09-07T03,41537
2758,2023-09-07T02,41068
2759,2023-09-07T01,39833
2760,2023-09-07T00,37774
2761,2023-09-06T23,35180
2762,2023-09-06T22,33473
2763,2023-09-06T21,32760
2764,2023-09-06T20,32411
2765,2023-09-06T19,32648
2766,2023-09-06T18,33001
2767,2023-09-06T17,32992
2768,2023-09-06T16,32459
2769,2023-09-06T15,31115
2770,2023-09-06T14,29135
2771,2023-09-06T13,27844
2772,2023-09-06T12,27695
2773,2023-09-06T11,28162
2774,2023-09-06T10,28949
2775,2023-09-06T09,30340
2776,2023-09-06T08,32077
2777,2023-09-06T07,34328
2778,2023-09-06T06,36623
2779,2023-09-06T05,38511
2780,2023-09-06T04,39766
2781,2023-09-06T03,40362
2782,2023-09-06T02,39312
2783,2023-09-06T01,37651
2784,2023-09-06T00,35867
2785,2023-09-05T23,34056
2786,2023-09-05T22,32822
2787,2023-09-05T21,32608
2788,2023-09-05T20,33166
2789,2023-09-05T19,33177
2790,2023-09-05T18,33105
2791,2023-09-05T17,32637
2792,2023-09-05T16,31982
2793,2023-09-05T15,30550
2794,2023-09-05T14,28489
2795,2023-09-05T13,27121
2796,2023-09-05T12,26759
2797,2023-09-05T11,27232
2798,2023-09-05T10,27621
2799,2023-09-05T09,28872
2800,2023-09-05T08,30478
2801,2023-09-05T07,32586
2802,2023-09-05T06,34878
2803,2023-09-05T05,36427
2804,2023-09-05T04,37364
2805,2023-09-05T03,37346
2806,2023-09-05T02,35527
2807,2023-09-05T01,33312
2808,2023-09-05T00,30872
2809,2023-09-04T23,28462
2810,2023-09-04T22,26939
2811,2023-09-04T21,26810
2812,2023-09-04T20,26604
2813,2023-09-04T19,27519
2814,2023-09-04T18,27962
2815,2023-09-04T17,28646
2816,2023-09-04T16,27408
2817,2023-09-04T15,26263
2818,2023-09-04T14,25754
2819,2023-09-04T13,25446
2820,2023-09-04T12,25552
2821,2023-09-04T11,26272
2822,2023-09-04T10,27049
2823,2023-09-04T09,28348
2824,2023-09-04T08,29751
2825,2023-09-04T07,31309
2826,2023-09-04T06,32914
2827,2023-09-04T05,33954
2828,2023-09-04T04,34318
2829,2023-09-04T03,34075
2830,2023-09-04T02,32620
2831,2023-09-04T01,30953
2832,2023-09-04T00,29467
2833,2023-09-03T23,28450
2834,2023-09-03T22,27890
2835,2023-09-03T21,28069
2836,2023-09-03T20,27978
2837,2023-09-03T19,28223
2838,2023-09-03T18,28750
2839,2023-09-03T17,28540
2840,2023-09-03T16,27701
2841,2023-09-03T15,27170
2842,2023-09-03T14,26929
2843,2023-09-03T13,26865
2844,2023-09-03T12,27253
2845,2023-09-03T11,27988
2846,2023-09-03T10,28838
2847,2023-09-03T09,30079
2848,2023-09-03T08,31354
2849,2023-09-03T07,33154
2850,2023-09-03T06,34883
2851,2023-09-03T05,35746
2852,2023-09-03T04,36012
2853,2023-09-03T03,35621
2854,2023-09-03T02,34611
2855,2023-09-03T01,33531
2856,2023-09-03T00,32706
2857,2023-09-02T23,32017
2858,2023-09-02T22,31891
2859,2023-09-02T21,31900
2860,2023-09-02T20,32231
2861,2023-09-02T19,31852
2862,2023-09-02T18,31320
2863,2023-09-02T17,30729
2864,2023-09-02T16,29520
2865,2023-09-02T15,28959
2866,2023-09-02T14,28296
2867,2023-09-02T13,28151
2868,2023-09-02T12,28302
2869,2023-09-02T11,28917
2870,2023-09-02T10,30136
2871,2023-09-02T09,31354
2872,2023-09-02T08,32678
2873,2023-09-02T07,34888
2874,2023-09-02T06,36593
2875,2023-09-02T05,37670
2876,2023-09-02T04,38085
2877,2023-09-02T03,38285
2878,2023-09-02T02,38919
2879,2023-09-02T01,39421
2880,2023-09-02T00,39228
2881,2023-09-01T23,38479
2882,2023-09-01T22,37383
2883,2023-09-01T21,36842
2884,2023-09-01T20,36351
2885,2023-09-01T19,36154
2886,2023-09-01T18,35557
2887,2023-09-01T17,35135
2888,2023-09-01T16,33815
2889,2023-09-01T15,32745
2890,2023-09-01T14,31116
2891,2023-09-01T13,29849
2892,2023-09-01T12,29701
2893,2023-09-01T11,30339
2894,2023-09-01T10,31661
2895,2023-09-01T09,33039
2896,2023-09-01T08,34844
2897,2023-09-01T07,37885
2898,2023-09-01T06,40659
2899,2023-09-01T05,42941
2900,2023-09-01T04,44726
2901,2023-09-01T03,45768
2902,2023-09-01T02,46422
2903,2023-09-01T01,46282
2904,2023-09-01T00,45156
2905,2023-08-31T23,42659
2906,2023-08-31T22,40228
2907,2023-08-31T21,38720
2908,2023-08-31T20,37763
2909,2023-08-31T19,38376
2910,2023-08-31T18,37446
2911,2023-08-31T17,36805
2912,2023-08-31T16,34859
2913,2023-08-31T15,33591
2914,2023-08-31T14,31723
2915,2023-08-31T13,30719
2916,2023-08-31T12,30629
2917,2023-08-31T11,31140
2918,2023-08-31T10,32609
2919,2023-08-31T09,34694
2920,2023-08-31T08,36978
2921,2023-08-31T07,40701
2922,2023-08-31T06,44170
2923,2023-08-31T05,47229
2924,2023-08-31T04,49620
2925,2023-08-31T03,51132
2926,2023-08-31T02,51435
2927,2023-08-31T01,50325
2928,2023-08-31T00,48495
2929,2023-08-30T23,46040
2930,2023-08-30T22,43971
2931,2023-08-30T21,41963
2932,2023-08-30T20,40600
2933,2023-08-30T19,39139
2934,2023-08-30T18,38885
2935,2023-08-30T17,37795
2936,2023-08-30T16,35209
2937,2023-08-30T15,33556
2938,2023-08-30T14,31677
2939,2023-08-30T13,30633
2940,2023-08-30T12,30780
2941,2023-08-30T11,31662
2942,2023-08-30T10,33244
2943,2023-08-30T09,35065
2944,2023-08-30T08,37489
2945,2023-08-30T07,40913
2946,2023-08-30T06,44763
2947,2023-08-30T05,47963
2948,2023-08-30T04,50454
2949,2023-08-30T03,51869
2950,2023-08-30T02,52118
2951,2023-08-30T01,51053
2952,2023-08-30T00,49319
2953,2023-08-29T23,46813
2954,2023-08-29T22,43446
2955,2023-08-29T21,41006
2956,2023-08-29T20,39376
2957,2023-08-29T19,38081
2958,2023-08-29T18,37754
2959,2023-08-29T17,36909
2960,2023-08-29T16,34897
2961,2023-08-29T15,33223
2962,2023-08-29T14,31548
2963,2023-08-29T13,30587
2964,2023-08-29T12,30710
2965,2023-08-29T11,31471
2966,2023-08-29T10,32877
2967,2023-08-29T09,34683
2968,2023-08-29T08,36729
2969,2023-08-29T07,40423
2970,2023-08-29T06,44300
2971,2023-08-29T05,47524
2972,2023-08-29T04,50147
2973,2023-08-29T03,52165
2974,2023-08-29T02,52538
2975,2023-08-29T01,51273
2976,2023-08-29T00,49118
2977,2023-08-28T23,46542
2978,2023-08-28T22,43706
2979,2023-08-28T21,41640
2980,2023-08-28T20,39994
2981,2023-08-28T19,37940
2982,2023-08-28T18,37533
2983,2023-08-28T17,36464
2984,2023-08-28T16,34021
2985,2023-08-28T15,31863
2986,2023-08-28T14,29855
2987,2023-08-28T13,29199
2988,2023-08-28T12,29340
2989,2023-08-28T11,30046
2990,2023-08-28T10,30788
2991,2023-08-28T09,32116
2992,2023-08-28T08,33581
2993,2023-08-28T07,36498
2994,2023-08-28T06,39699
2995,2023-08-28T05,42278
2996,2023-08-28T04,43967
2997,2023-08-28T03,45131
2998,2023-08-28T02,44268
2999,2023-08-28T01,42047
3000,2023-08-28T00,39494
3001,2023-08-27T23,36434
3002,2023-08-27T22,33459
3003,2023-08-27T21,31754
3004,2023-08-27T20,30315
3005,2023-08-27T19,29742
3006,2023-08-27T18,29438
3007,2023-08-27T17,29255
3008,2023-08-27T16,27837
3009,2023-08-27T15,26390
3010,2023-08-27T14,25998
3011,2023-08-27T13,26210
3012,2023-08-27T12,26769
3013,2023-08-27T11,27647
3014,2023-08-27T10,28895
3015,2023-08-27T09,30643
3016,2023-08-27T08,32526
3017,2023-08-27T07,34971
3018,2023-08-27T06,37605
3019,2023-08-27T05,39557
3020,2023-08-27T04,41274
3021,2023-08-27T03,42283
3022,2023-08-27T02,41328
3023,2023-08-27T01,39445
3024,2023-08-27T00,37304
3025,2023-08-26T23,34476
3026,2023-08-26T22,32322
3027,2023-08-26T21,31717
3028,2023-08-26T20,30655
3029,2023-08-26T19,30716
3030,2023-08-26T18,30640
3031,2023-08-26T17,30710
3032,2023-08-26T16,28625
3033,2023-08-26T15,27718
3034,2023-08-26T14,27192
3035,2023-08-26T13,27107
3036,2023-08-26T12,27479
3037,2023-08-26T11,28255
3038,2023-08-26T10,29893
3039,2023-08-26T09,31467
3040,2023-08-26T08,33212
3041,2023-08-26T07,35730
3042,2023-08-26T06,38426
3043,2023-08-26T05,40391
3044,2023-08-26T04,41926
3045,2023-08-26T03,43396
3046,2023-08-26T02,43269
3047,2023-08-26T01,42302
3048,2023-08-26T00,40283
3049,2023-08-25T23,38053
3050,2023-08-25T22,36580
3051,2023-08-25T21,35339
3052,2023-08-25T20,34329
3053,2023-08-25T19,35132
3054,2023-08-25T18,35682
3055,2023-08-25T17,34801
3056,2023-08-25T16,32766
3057,2023-08-25T15,31618
3058,2023-08-25T14,30046
3059,2023-08-25T13,28832
3060,2023-08-25T12,28755
3061,2023-08-25T11,29403
3062,2023-08-25T10,30643
3063,2023-08-25T09,32334
3064,2023-08-25T08,34149
3065,2023-08-25T07,36924
3066,2023-08-25T06,40212
3067,2023-08-25T05,42615
3068,2023-08-25T04,44505
3069,2023-08-25T03,45885
3070,2023-08-25T02,46219
3071,2023-08-25T01,45645
3072,2023-08-25T00,44026
3073,2023-08-24T23,42223
3074,2023-08-24T22,40574
3075,2023-08-24T21,39269
3076,2023-08-24T20,38849
3077,2023-08-24T19,38109
3078,2023-08-24T18,37159
3079,2023-08-24T17,35961
3080,2023-08-24T16,34714
3081,2023-08-24T15,33139
3082,2023-08-24T14,31157
3083,2023-08-24T13,30302
3084,2023-08-24T12,30149
3085,2023-08-24T11,30729
3086,2023-08-24T10,32158
3087,2023-08-24T09,33930
3088,2023-08-24T08,36050
3089,2023-08-24T07,38887
3090,2023-08-24T06,42393
3091,2023-08-24T05,44950
3092,2023-08-24T04,47036
3093,2023-08-24T03,48703
3094,2023-08-24T02,48698
3095,2023-08-24T01,47269
3096,2023-08-24T00,45595
3097,2023-08-23T23,42934
3098,2023-08-23T22,40387
3099,2023-08-23T21,38687
3100,2023-08-23T20,36815
3101,2023-08-23T19,35921
3102,2023-08-23T18,35514
3103,2023-08-23T17,34171
3104,2023-08-23T16,32683
3105,2023-08-23T15,31662
3106,2023-08-23T14,30149
3107,2023-08-23T13,29530
3108,2023-08-23T12,29599
3109,2023-08-23T11,29836
3110,2023-08-23T10,30823
3111,2023-08-23T09,32458
3112,2023-08-23T08,34342
3113,2023-08-23T07,37012
3114,2023-08-23T06,39837
3115,2023-08-23T05,41983
3116,2023-08-23T04,43814
3117,2023-08-23T03,44224
3118,2023-08-23T02,43780
3119,2023-08-23T01,42475
3120,2023-08-23T00,40070
3121,2023-08-22T23,37657
3122,2023-08-22T22,36186
3123,2023-08-22T21,34699
3124,2023-08-22T20,33494
3125,2023-08-22T19,33205
3126,2023-08-22T18,32964
3127,2023-08-22T17,32760
3128,2023-08-22T16,32026
3129,2023-08-22T15,31069
3130,2023-08-22T14,29220
3131,2023-08-22T13,28311
3132,2023-08-22T12,28069
3133,2023-08-22T11,28757
3134,2023-08-22T10,29785
3135,2023-08-22T09,31027
3136,2023-08-22T08,32215
3137,2023-08-22T07,34767
3138,2023-08-22T06,36968
3139,2023-08-22T05,38308
3140,2023-08-22T04,38974
3141,2023-08-22T03,38998
3142,2023-08-22T02,38608
3143,2023-08-22T01,37196
3144,2023-08-22T00,37061
3145,2023-08-21T23,36479
3146,2023-08-21T22,35098
3147,2023-08-21T21,33775
3148,2023-08-21T20,33214
3149,2023-08-21T19,33546
3150,2023-08-21T18,33839
3151,2023-08-21T17,33688
3152,2023-08-21T16,32679
3153,2023-08-21T15,31136
3154,2023-08-21T14,29354
3155,2023-08-21T13,27921
3156,2023-08-21T12,27484
3157,2023-08-21T11,27758
3158,2023-08-21T10,28212
3159,2023-08-21T09,29621
3160,2023-08-21T08,31659
3161,2023-08-21T07,33622
3162,2023-08-21T06,35475
3163,2023-08-21T05,36573
3164,2023-08-21T04,36884
3165,2023-08-21T03,36937
3166,2023-08-21T02,36468
3167,2023-08-21T01,36118
3168,2023-08-21T00,36065
3169,2023-08-20T23,35126
3170,2023-08-20T22,34312
3171,2023-08-20T21,33848
3172,2023-08-20T20,32926
3173,2023-08-20T19,31981
3174,2023-08-20T18,30961
3175,2023-08-20T17,30506
3176,2023-08-20T16,29447
3177,2023-08-20T15,28842
3178,2023-08-20T14,28694
3179,2023-08-20T13,29073
3180,2023-08-20T12,29831
3181,2023-08-20T11,30280
3182,2023-08-20T10,31212
3183,2023-08-20T09,32593
3184,2023-08-20T08,33942
3185,2023-08-20T07,35941
3186,2023-08-20T06,37954
3187,2023-08-20T05,39057
3188,2023-08-20T04,39676
3189,2023-08-20T03,40003
3190,2023-08-20T02,39858
3191,2023-08-20T01,39268
3192,2023-08-20T00,37968
3193,2023-08-19T23,36008
3194,2023-08-19T22,34376
3195,2023-08-19T21,32897
3196,2023-08-19T20,32314
3197,2023-08-19T19,31809
3198,2023-08-19T18,31305
3199,2023-08-19T17,31612
3200,2023-08-19T16,30374
3201,2023-08-19T15,29124
3202,2023-08-19T14,29123
3203,2023-08-19T13,29042
3204,2023-08-19T12,29293
3205,2023-08-19T11,30486
3206,2023-08-19T10,31965
3207,2023-08-19T09,33900
3208,2023-08-19T08,35913
3209,2023-08-19T07,38547
3210,2023-08-19T06,41335
3211,2023-08-19T05,43539
3212,2023-08-19T04,45143
3213,2023-08-19T03,46767
3214,2023-08-19T02,47329
3215,2023-08-19T01,46637
3216,2023-08-19T00,45056
3217,2023-08-18T23,43022
3218,2023-08-18T22,40988
3219,2023-08-18T21,39427
3220,2023-08-18T20,38345
3221,2023-08-18T19,37872
3222,2023-08-18T18,38121
3223,2023-08-18T17,37997
3224,2023-08-18T16,35845
3225,2023-08-18T15,33588
3226,2023-08-18T14,32369
3227,2023-08-18T13,31712
3228,2023-08-18T12,31613
3229,2023-08-18T11,32455
3230,2023-08-18T10,33950
3231,2023-08-18T09,35781
3232,2023-08-18T08,37691
3233,2023-08-18T07,40678
3234,2023-08-18T06,44128
3235,2023-08-18T05,47031
3236,2023-08-18T04,49284
3237,2023-08-18T03,51277
3238,2023-08-18T02,52253
3239,2023-08-18T01,51884
3240,2023-08-18T00,50838
3241,2023-08-17T23,48660
3242,2023-08-17T22,46691
3243,2023-08-17T21,44575
3244,2023-08-17T20,42965
3245,2023-08-17T19,42592
3246,2023-08-17T18,41640
3247,2023-08-17T17,40720
3248,2023-08-17T16,38726
3249,2023-08-17T15,35407
3250,2023-08-17T14,33197
3251,2023-08-17T13,32457
3252,2023-08-17T12,32823
3253,2023-08-17T11,33813
3254,2023-08-17T10,35194
3255,2023-08-17T09,37111
3256,2023-08-17T08,39662
3257,2023-08-17T07,43350
3258,2023-08-17T06,47262
3259,2023-08-17T05,49793
3260,2023-08-17T04,51384
3261,2023-08-17T03,53095
3262,2023-08-17T02,54130
3263,2023-08-17T01,53591
3264,2023-08-17T00,52258
3265,2023-08-16T23,50267
3266,2023-08-16T22,47665
3267,2023-08-16T21,45590
3268,2023-08-16T20,43765
3269,2023-08-16T19,41555
